,pseudo_ALG,main_ALG,DATASET,method,vMAE,vSTD,eMAE,vs
0,MLP,Lasso,FCT,SSL,0.9726209362404422,0.20675502732003823,0.8108762925922359,[-1.0520039  -1.20076723 -0.64318004 -0.8309097  -1.13624381]
1,MLP,BaggingRegressor,FCT,SSL,0.9554090111718729,0.2367686668420274,1.0057099945201462,[-0.85108462 -1.19022953 -0.68488679 -0.76921234 -1.28163176]
2,MLP,KNeighborsRegressor,FCT,SSL,0.7861706884806038,0.3054167431464143,0.9059395731298892,[-0.85723901 -1.0192213  -0.48182913 -0.38979125 -1.18277275]
3,MLP,AdaBoostRegressor,FCT,SSL,0.7857650043966519,0.3830503807734573,0.9093849556602693,[-0.88394212 -1.25217257 -0.43523721 -0.25407005 -1.10340308]
4,MLP,LinearRegression,FCT,SSL,0.9091494662805211,0.24886629624354803,0.8286383732710089,[-1.06550215 -1.20984201 -0.60139462 -0.62360958 -1.04539898]
5,MLP,SVR,FCT,SSL,0.8454941986495891,0.23245033136681734,0.8213778616711988,[-0.92455449 -1.14568716 -0.55946378 -0.58954956 -1.00821601]
6,MLP,DecisionTreeRegressor,FCT,SSL,0.9400348231624666,0.16575090470939868,0.7536090882781121,[-0.93136533 -1.25458146 -0.82621022 -0.78504273 -0.90297437]
7,MLP,RandomForestRegressor,FCT,SSL,0.7984360193992905,0.23182245101672258,0.9900787670802998,[-0.79913597 -1.20119368 -0.60642149 -0.53897711 -0.84645184]
8,MLP,MLPRegressor,FCT,SSL,0.6123240206756317,0.32592642695426205,1.0391965931884877,[-0.86727001 -1.08494239 -0.30820224 -0.22648677 -0.57471869]
9,MLP,GradientBoostingRegressor,FCT,SSL,0.8828340079728013,0.23975851487570288,0.8500247115002375,[-1.04413885 -1.18691397 -0.62110036 -0.58138948 -0.98062738]
10,MLP,Lasso,FPT,SSL,0.9871357502909955,0.23430915218071555,0.751676808147718,[-1.03875971 -1.2313874  -0.86464395 -0.59866182 -1.20222587]
11,MLP,BaggingRegressor,FPT,SSL,1.044232821378171,0.233723722490193,1.1602570016255838,[-1.31943795 -1.25163026 -0.79940242 -0.74345033 -1.10724316]
